"horizon","inflation","shadow_rate","real_rate"
108,1.40039189179966e-05,0.00262639663126655,0.00261239271234855
109,1.3421777474922e-05,0.00251721759831407,0.00250379582083915
110,1.28638355906801e-05,0.00241257712632932,0.00239971329073864
111,1.23290872921443e-05,0.0023122865478081,0.00229995746051596
112,1.18165684243852e-05,0.00221616503813461,0.00220434846971023
113,1.13253549122932e-05,0.00212403928955339,0.0021127139346411
114,1.08545610944639e-05,0.00203574319869423,0.00202488863759977
115,1.04033381263452e-05,0.00195111756708663,0.00194071422896028
116,9.97087244976373e-06,0.00187000981412382,0.00186003894167406
117,9.55638432607438e-06,0.00179227370195891,0.00178271731763284
118,9.15912643028585e-06,0.00171776907183697,0.00170860994540668
119,8.7783825036285e-06,0.00164636159138784,0.00163758320888421
120,8.41346606213469e-06,0.00157792251242392,0.00156950904636178
