"date","r_star","pi_star","w","shadow_rate","effective_federal_funds_rate"
1978-01-01,1.27367853352251,4.81985925760536,0.122111200238809,6.03691788505898,6.7
1978-02-01,1.26593538708837,4.90446902885753,0.141393399258947,6.04441494794074,6.78
1978-03-01,1.23528310838123,4.86917391283418,0.319909372741286,5.85432081767691,6.79
1978-04-01,1.18754363244396,4.82429412411258,0.615154644976851,5.78112657263335,6.89
1978-05-01,1.07717742959209,4.84911033776223,0.931805237385179,5.84377751227786,7.36
1978-06-01,1.05301977998583,4.96652190703964,0.915962858797487,6.16711595604721,7.6
1978-07-01,0.998342478156988,5.12757884116414,0.958271387457334,6.4493394606915,7.81
1978-08-01,0.881893219466589,5.12577552498537,0.785132357632518,6.57740959219672,8.04
1978-09-01,0.918949766497743,5.26273010581909,0.191016142177042,7.47027698451561,8.45
1978-10-01,0.839441445444681,5.35850404449063,0.40317795567725,7.64825020438918,8.96
1978-11-01,0.61083302460161,5.38792410459874,0.721220949931529,8.32560024883492,9.76
1978-12-01,0.621232382782593,5.51552375790918,0.688610971425896,8.73588638580379,10.03
1979-01-01,0.55336146264697,5.67856491696588,0.627162867129653,9.02247143206491,10.07
1979-02-01,0.650624437927746,5.84973007654715,0.128699363105428,9.06335868719685,10.06
1979-03-01,0.676951956613823,5.98397208093645,-0.0552802522969335,9.25250540448369,10.09
1979-04-01,0.653569676044592,6.16634508876722,-0.126966979683475,9.22926027653425,10.01
1979-05-01,0.666227668739186,6.2652691874726,-0.319255596114486,9.42327777146225,10.24
1979-06-01,0.658824307532301,6.20996536828949,-0.474608641710905,8.89661385136528,10.29
1979-07-01,0.724076322706255,6.25247640447857,-0.749407723670815,9.11894809777916,10.47
1979-08-01,0.69729002678755,6.28418908935926,-0.675262253804186,9.43454761156219,10.94
1979-09-01,0.573917560752947,6.39614387514381,-0.486319331240652,10.2212519402026,11.43
1979-10-01,0.631811701431655,6.82743893645647,-0.360670869859468,11.6151003933928,13.77
1979-11-01,0.62729234180332,7.19823246983138,-0.415999877217355,11.6989936550414,13.18
