"","rho_r_star","sigma_r_star","rho_pi_star","sigma_pi_star","cyclical_raw_1","cyclical_raw_2","cyclical_raw_3","cyclical_raw_4","sigma_pi_gap","impact_pi_m_ratio","liquidity_spread_gfc","measurement_sigma_inf","measurement_sigma_ptr","measurement_sigma_inflation_survey","measurement_sigma_tbill_survey","measurement_sigma_nominal_yield","lambda0_eps_r_star","lambda0_eps_pi_star","lambda0_eps_m","lambda0_eps_pi_gap","lambda0_eps_u","lambda0_eps_w","lambdaw_eps_r_star","lambdaw_eps_pi_star","lambdaw_eps_m","lambdaw_eps_pi_gap","lambdaw_eps_u","lambdaw_eps_w","lambda_r_star_scale","lambda_pi_star_scale","rho_w","sigma_wpi"
"lambda0_eps_u",0.0124433904672496,-0.0308892575797934,0.0112054877504523,0.00752449260012049,-0.0186681180169199,-0.0106741389790988,-0.0155366334104206,-0.0370475645435969,0.0678127768006108,0.0215105593390528,-0.013908946574585,0.0297699671910274,-0.00588022959067598,-0.00185543294063099,0.00265097732004189,0.00331790052979702,-0.0086594857583126,0.0147315226383143,0.122120810797145,-0.978323472640162,1.9329522490071,-0.166279594685473,0.000688148744718316,-0.000762391564109105,0.000100147916301847,-0.113267880526068,0.56295878087438,-0.100399470514632,-0.00490072087838791,-0.00249108035338388,-0.047238146102871,-0.0135105381925551
"lambda0_eps_w",-0.00277196699137313,0.00449779626015144,0.000776770620108106,-0.00178777459258931,0.00512312520473929,0.00324415736812597,0.00314723421279829,0.00536402078850953,-0.0119773758565847,-0.0109014511700781,0.000188422906276336,-0.0048363113837465,-0.00307397204422598,-0.000474026811011283,0.000163478919588872,4.51843828317029e-05,-0.00137733157141416,-0.000360915173827188,-0.00733473243376686,0.0529609508251939,-0.166279594685473,0.105896218019636,-0.000520657389850774,0.000287747478500304,0.000634050249175028,0.00417981664736406,-0.0718825082842211,0.0735173486251266,0.00355398974999369,0.00166759474541148,0.0180772149988429,0.009856408496839
"lambdaw_eps_r_star",3.19837678305832e-06,2.50555623982407e-05,9.57397855018423e-05,-5.83554054514602e-05,1.72540676264364e-05,-3.7674110049814e-05,-3.9731184503936e-05,-4.18589963678437e-05,0.00010909079008379,-7.16343574569648e-05,7.66362298338738e-06,-2.59424594315252e-05,9.20245102833757e-05,5.16544813414254e-06,9.24497631102064e-05,-1.13418490956981e-05,7.72492448879215e-05,3.86520036666355e-06,7.81072399251687e-05,3.37120866769191e-05,0.000688148744718316,-0.000520657389850774,9.26350231189313e-05,-2.53231946410803e-05,-0.00012729743581025,0.00164821308365398,-0.00173078209351212,-0.000383932971795595,-8.87944482696997e-06,-4.75673785503278e-06,-0.000104962284302354,-3.29587868749288e-05
"lambdaw_eps_pi_star",-6.48445534858034e-05,5.73038651756865e-05,5.39543866054669e-05,-4.6599232575702e-05,3.11206976070118e-05,-1.98847113039204e-05,-1.89908106278708e-05,8.76610441720895e-05,-0.000130679006206992,0.000143826346171474,6.71236656245978e-06,-9.74251673719666e-05,-7.4499089948545e-05,-5.9613966972503e-05,-4.75155375568751e-05,4.91965952333919e-06,-3.07753885778644e-05,2.58288519568803e-05,-0.000112832475296967,-7.90574518775643e-05,-0.000762391564109105,0.000287747478500304,-2.53231946410803e-05,3.36849378836308e-05,5.67089880652215e-05,-0.00102692848231444,0.000820807510080785,0.000147849980795284,4.87909883886402e-05,1.20460911171831e-05,0.000397322055930484,2.32467166031791e-05
"lambdaw_eps_m",-0.000209818899570644,-0.000247608556944344,0.000379084218400183,-0.000109232046209267,6.84666761334269e-05,-4.63439738172927e-05,0.000141824674060589,-0.000645200008095321,0.00177111641224912,0.000239567184653144,0.000321150840970168,0.000469172869314657,-0.00035356254082533,-1.11375352535681e-05,-0.000240446594124853,2.54816418450614e-06,-8.7142570345694e-05,-0.000161865721806795,4.03647433913339e-05,0.00677269577558683,0.000100147916301847,0.000634050249175028,-0.00012729743581025,5.67089880652215e-05,0.00143759648036102,-0.00479914694770802,0.0145022056642844,-0.000248642634752349,0.000758187585737934,0.000139994476638127,0.00452478754170405,1.10107035048816e-05
"lambdaw_eps_pi_gap",0.002433165909084,-0.00225726647002503,0.00413517904057683,-0.00130378882480664,-0.000251510867127677,0.00213430394734401,0.00320663476031448,0.00546177399894134,-0.00341546567646752,-0.0158243843551787,-0.000849442051769775,0.00232694263498102,0.00179049949016384,0.000465691637526293,0.000776396331706931,0.000254735839843851,0.00210298189268948,-0.000774159105544257,0.000887425117463968,0.103379404464456,-0.113267880526068,0.00417981664736406,0.00164821308365398,-0.00102692848231444,-0.00479914694770802,0.115649989959427,-0.140544494695251,0.00486027487217732,-0.000744584183487074,-0.000528807558983399,-0.00765715185513486,0.000724294967331609
"lambdaw_eps_u",-0.00737077747745187,-0.00963199135556208,0.012321560918334,0.00127386947859384,-0.00869190163659717,-0.00545213688093929,-0.00751622147711647,-0.0259176290810736,0.0557840099512327,0.0129834788244134,-0.00354561570080595,0.0193177127621337,-0.00554921181217321,-0.00283339660530289,0.000485052445567669,0.000795887754183258,-0.00127087757528524,0.00061686839183802,0.0113768458031858,-0.127025449074209,0.56295878087438,-0.0718825082842211,-0.00173078209351212,0.000820807510080785,0.0145022056642844,-0.140544494695251,0.49428046824942,-0.0536636343839614,0.00376732830015538,-0.000563384643931986,0.0104212116223651,-0.00711966551180931
"lambdaw_eps_w",-0.00150890920410392,0.00297317739005583,0.0003674932420258,-0.00107182910984298,0.00328152980487774,0.00236208254261194,0.00214706859271711,0.0038021980654635,-0.0087302194051329,-0.00785252342048365,-0.000237164346473744,-0.00331823985000211,-0.002056155837881,-0.000268119703918936,0.000267059939712876,8.66013192664502e-05,-0.000974604590818328,-9.79548172629688e-05,-0.00378448594311989,0.0260332740310399,-0.100399470514632,0.0735173486251266,-0.000383932971795595,0.000147849980795284,-0.000248642634752349,0.00486027487217732,-0.0536636343839614,0.0519098138915738,0.0018839981945969,0.0010370670614379,0.00891442195683311,0.00689073268222293
"lambda_r_star_scale",-0.000195092834255335,-0.000315733955375244,0.000701515477805719,-0.000195470530065288,9.0831965398775e-05,0.000260463514557035,0.000288959483566073,0.00029027488980568,-0.000189373250314456,-0.000955021473949671,0.000199847361000512,0.000516155076631241,-0.000462690008657435,-0.000120537582097475,-0.000220650692991508,4.67361643685121e-05,2.42100474439648e-05,-5.16108384154428e-05,2.39186621923896e-05,0.00579631498070981,-0.00490072087838791,0.00355398974999369,-8.87944482696997e-06,4.87909883886402e-05,0.000758187585737934,-0.000744584183487074,0.00376732830015538,0.0018839981945969,0.00122838408828616,0.000300181565621918,0.00581736575001304,0.000348187595960901
"lambda_pi_star_scale",0.000173306737063756,-5.08820361942351e-05,4.08521166965274e-05,-3.92249604509464e-05,3.9604311204296e-05,1.90169496723284e-05,4.22516280036369e-05,9.68000850181622e-05,-0.000272134752071901,-4.2927655421867e-05,9.32612712236926e-05,-2.7363623588361e-05,-0.000207214205346034,-6.79600263173483e-05,-9.8449278674362e-05,1.10520457617957e-05,-1.19107826628134e-05,-1.18529647795114e-05,2.06884804648269e-05,0.000549727788800277,-0.00249108035338388,0.00166759474541148,-4.75673785503278e-06,1.20460911171831e-05,0.000139994476638127,-0.000528807558983399,-0.000563384643931986,0.0010370670614379,0.000300181565621918,0.000136597641343231,0.00147182980469198,0.000163849145202865
"rho_w",-0.000648906648185322,-0.00111243056393559,0.00249008487270827,-0.00117543601614196,0.00150065624661089,0.000814181012501184,0.0014601096443838,0.00204624378702609,-0.00211663753348994,-0.00214381496380438,0.00133772899007297,0.000808873875174498,-0.00219714937522456,-0.000651616115520082,-0.00130407498120731,0.000290661361292809,-0.000155733586800044,-0.000203381477478486,-0.000262794828646237,0.0315364982663434,-0.047238146102871,0.0180772149988429,-0.000104962284302354,0.000397322055930484,0.00452478754170405,-0.00765715185513486,0.0104212116223651,0.00891442195683311,0.00581736575001304,0.00147182980469198,0.0318487328691774,0.00170166715643114
"sigma_wpi",-0.000207990014242495,0.000375381782259535,0.000109988189288821,-0.000173278860327828,0.000458776266637623,0.000311544308053569,0.000289271688837082,0.000525229644665611,-0.00117222173221195,-0.00106121040582509,-9.68477801141018e-06,-0.000435930745257824,-0.000293844251033911,-5.00872920109398e-05,3.18640958364794e-05,1.50067494617169e-05,-0.00011619868944575,-9.77194040380934e-06,-0.000477398215474684,0.0036628479636006,-0.0135105381925551,0.009856408496839,-3.29587868749288e-05,2.32467166031791e-05,1.10107035048816e-05,0.000724294967331609,-0.00711966551180931,0.00689073268222293,0.000348187595960901,0.000163849145202865,0.00170166715643114,0.000928303028757123
