"date","observed_irp","fitted_observable_irp","structural_irp","structural_error","definition_wedge","irp_fit_error","nominal_yield_contribution","real_yield_contribution","cpi10_contribution"
2011-02-01,0.223736847285219,-0.120248066761023,0.0345465561706735,-0.189190291114545,0.154794622931696,-0.343984914046242,-0.0846360246471313,-0.0755235581840769,-0.183825331215034
2011-03-01,NA,-0.13804039604696,0.0156985714169777,NA,0.153738967463937,NA,-0.0047048755791021,-0.0243013259962721,NA
2011-04-01,NA,-0.101156486433568,0.0533664148460211,NA,0.154522901279589,NA,-0.000910989250232051,-0.0203760856041389,NA
2011-05-01,-0.0475761734599157,-0.166537125563304,-0.0183240840865913,0.0292520893733244,0.148213041476712,-0.118960952103388,-0.0410471283079843,-0.00549529408056448,-0.0724185297148395
2011-06-01,NA,-0.270604892664584,-0.126720933733362,NA,0.143883958931222,NA,-0.089018247779089,-0.0186049878541283,NA
2011-07-01,NA,-0.348339362660119,-0.204161050169299,NA,0.14417831249082,NA,-0.100377192426237,-0.067104413276412,NA
2011-08-01,-0.218713062139941,-0.573944645884606,-0.449044373680103,-0.230331311540162,0.124900272204503,-0.355231583744665,-0.0506175539293651,-0.197461101943436,-0.107152927871864
2011-09-01,NA,-0.626729930793515,-0.512421566729653,NA,0.114308364063862,NA,0.010764200793089,-0.0763863676295276,NA
2011-10-01,NA,-0.573521864438157,-0.454871054678782,NA,0.118650809759375,NA,-0.0256547749695686,-0.0588885296231265,NA
2011-11-01,-0.409585005246056,-0.611567149092359,-0.499343321370997,-0.089758316124941,0.112223827721362,-0.201982143846303,-0.0338740475892424,-0.0687153522528698,-0.099392744004191
2011-12-01,NA,-0.648489915555858,-0.538215971258486,NA,0.110273944297372,NA,-0.0370313776970796,-0.0500119594320649,NA
2012-01-01,NA,-0.648370142809265,-0.538762575023736,NA,0.109607567785529,NA,-0.0373140303581015,-0.010968659385415,NA
2012-02-01,-0.183194987207652,-0.64821957958163,-0.538067220709076,-0.354872233501424,0.110152358872554,-0.465024592373978,-0.0118929018523195,-0.0362387886956059,-0.416892901826053
2012-03-01,NA,-0.539998427606158,-0.422777730106591,NA,0.117220697499567,NA,-0.0326698128660613,0.0766405291971961,NA
2012-04-01,NA,-0.585681214348856,-0.473977985028881,NA,0.111703229319975,NA,-0.0454337843716489,0.0341712083670476,NA
2012-05-01,-0.198877281431718,-0.594719783101186,-0.495818372399026,-0.296941090967308,0.0989014107021601,-0.395842501669468,-0.0548850478771185,-0.0865852758848957,-0.254372177907454
2012-06-01,NA,-0.761565644405578,-0.671561391647435,NA,0.0900042527581425,NA,-0.0316961351875577,-0.113621897794017,NA
2012-07-01,NA,-0.843246291894061,-0.758136947187884,NA,0.085109344706177,NA,-0.0334939839120634,-0.0382698850692065,NA
2012-08-01,-0.211308696282428,-0.744345822594525,-0.65460974607898,-0.443301049796552,0.0897360765155446,-0.533037126312097,-0.11337235551339,-0.0486592054666075,-0.371005565332099
2012-09-01,NA,-0.79821155461378,-0.704702875494909,NA,0.0935086791188705,NA,-0.0823321771262798,0.0281691453706005,NA
2012-10-01,NA,-0.843673378370771,-0.748398457381146,NA,0.0952749209896254,NA,-0.0630138618223327,0.00405243218497518,NA
2012-11-01,0.079605001807213,-0.776824153582408,-0.690184497588095,-0.769789499395308,0.0866396559943129,-0.856429155389621,-0.122185436385289,-0.138508478807666,-0.595735240196666
2012-12-01,NA,-0.809673177035356,-0.717281716780955,NA,0.0923914602544008,NA,-0.087832091053201,-0.00897675692886454,NA
2013-01-01,NA,-0.760615891681912,-0.657681888317758,NA,0.102934003364154,NA,-0.0818705423823707,0.0812352198883172,NA
2013-02-01,0.307673669724716,-0.621167231561846,-0.515735966351048,-0.823409636075764,0.105431265210797,-0.928840901286561,-0.105189099267318,-0.0411707000321141,-0.782481101987129
2013-03-01,NA,-0.611362162994047,-0.50446551382043,NA,0.106896649173617,NA,-0.0564617371801727,0.0893901576883707,NA
2013-04-01,NA,-0.681756212384932,-0.583318753771013,NA,0.0984374586139185,NA,-0.025859751608636,0.0344587713841248,NA
2013-05-01,0.105899978115071,-0.505119939489636,-0.403998014899189,-0.50989799301426,0.101121924590447,-0.611019917604707,-0.138712831850249,-0.0555271473881649,-0.416779938366293
2013-06-01,NA,-0.41170502856671,-0.293309472158795,NA,0.118395556407915,NA,-0.101061991265352,0.0721363272430042,NA
2013-07-01,NA,-0.327657065273864,-0.197757435690895,NA,0.129899629582969,NA,-0.0692716412185025,0.0311924376818974,NA
2013-08-01,0.097168177550489,-0.250712955451885,-0.115884156220703,-0.213052333771192,0.134828799231182,-0.347881133002374,-0.0869470641819013,-0.0823285449295509,-0.178605523890921
