"date","r_star_estimate","r_star_p025","r_star_p16","r_star_median","r_star_p84","r_star_p975","pi_star_estimate","pi_star_p025","pi_star_p16","pi_star_median","pi_star_p84","pi_star_p975","w_estimate","w_p025","w_p16","w_median","w_p84","w_p975"
2016-04-01,-1.261511997401,-3.902730381041,-2.09370181461403,-1.33617840208579,-0.666294062244197,0.550952170415962,1.90302441194103,1.19438653015023,1.66056196333295,1.89018699488611,2.10167483030362,2.5518145958435,-0.893328954064975,-2.07254368460823,-1.36516699136423,-0.86057777194233,-0.276603394820267,0.880993010298692
2016-05-01,-1.31209291123398,-3.93410563155318,-2.13673650693131,-1.37666817159213,-0.740395559596745,0.478165518137233,1.94408586304242,1.44462911116094,1.76219774039628,1.92778527425864,2.09016172200573,2.43684955972839,-0.822425585923437,-1.95517645195865,-1.31904596935222,-0.776341397617278,-0.190436103617793,0.87679557440455
2016-06-01,-1.50094711631916,-4.07627922385732,-2.33064157102534,-1.55055181275893,-0.876747390050701,0.352288820441061,1.84575853032543,1.14212508475618,1.59957898303151,1.82446163070199,2.03021686139442,2.48037759147664,-0.821936690073883,-2.02343216505388,-1.33282325054859,-0.79265730228057,-0.164199563502755,0.902113768108633
2016-07-01,-1.75156933340862,-4.44541309315624,-2.56725121814472,-1.78658362715293,-1.11793209292555,0.1714900405197,1.81407407669133,1.07812896328552,1.53612607181818,1.77974732399662,2.00272741082947,2.49858128852097,-0.78076923929045,-2.02303209229341,-1.31595721996978,-0.766249326380261,-0.136275895705204,0.987874833060926
2016-08-01,-1.69930956100392,-4.30116532738284,-2.54970405076934,-1.74958802253672,-1.11365337713984,0.120672185859105,1.80139392271123,1.26466547373904,1.61136009122843,1.77659445728975,1.94816943412801,2.28600226123368,-0.66742293810543,-1.85447391319825,-1.11067703335188,-0.59060674448788,0.00667721364933713,0.958444298141676
2016-09-01,-1.66837831587783,-4.19017533165526,-2.5004092350393,-1.73580727100949,-1.05361546139435,0.135583731285643,1.75905140323407,1.06474178022793,1.51343544603474,1.74209091791011,1.94783756078082,2.39665487389294,-0.452711928284612,-1.63291149048322,-0.912539749643949,-0.394233205189972,0.216055031267456,1.16806911598758
2016-10-01,-1.62533064824305,-4.26074346616874,-2.47481495762656,-1.69639502351487,-1.00542501781707,0.218997157081019,1.9031633500941,1.17469262495633,1.6520207602881,1.89085504670364,2.12251823931066,2.56990557355704,-0.384800315778544,-1.63499739967078,-0.893832711969658,-0.361118404173299,0.24068940197132,1.28205710898861
2016-11-01,-1.08402655679626,-3.79423128458762,-1.93181013811894,-1.16716343388322,-0.528650792700296,0.736390628818982,2.01874683058918,1.54480962702938,1.8567619941206,2.01717493134011,2.1871973532782,2.50725222781767,-0.531136901517417,-1.63602875491361,-0.968574686946176,-0.471492536824221,0.0991968467818934,1.13509409136601
2016-12-01,-0.582739045434036,-3.23798589082353,-1.43932152016586,-0.672134316873819,-0.0542152108628441,1.1679479847968,2.06074078700088,1.50553254476293,1.85229148954706,2.0697118932743,2.3131289307406,2.7739174837851,-0.526417366117567,-1.73148222383548,-0.975707374533426,-0.493221783061038,0.10393313325088,1.20451318028854
2017-01-01,-0.684896183841784,-3.30244486159885,-1.53025918964689,-0.776373929831061,-0.121314335489076,1.10322003790867,2.17816303214296,1.58164732172627,1.97346396407833,2.20193367108701,2.43266837362652,2.90262694065462,-0.636480641753725,-1.88366568872793,-1.11976640870013,-0.597260600342473,-0.013514390521111,1.08628726459596
2017-02-01,-0.758578224657788,-3.10045843089342,-1.48030132482245,-0.831080179287249,-0.30506620055144,0.769061441258561,2.27060895482623,1.80383145731629,2.1202628173942,2.28229581877465,2.43467271485288,2.78703279372119,-0.674818136766203,-1.49261918716596,-1.05592647584911,-0.651532673964991,-0.221382581371932,0.554147513157271
