"real_level","target_level","cycle_level","state_id","shadow_rate","region","eta","maturity_months","maturity","security","approximation","monte_carlo","error_bp","mc_se_bp","npaths"
1,1,-1,9,2.75,"Above the bound",0.5,24,"2y","Nominal",3.42180495960299,3.42193667261166,-0.013171300867354,0.00326032973870035,2000000
-1,-1,0,10,-0.25,"Below the bound",0.5,24,"2y","Nominal",0.583786295224056,0.586377684829125,-0.259138960506855,0.0261977740817467,2000000
0,-1,0,11,1,"Near the bound",0.5,24,"2y","Nominal",1.26148282906604,1.26321596704636,-0.173313798032204,0.0205446711871797,2000000
1,-1,0,12,2.25,"Above the bound",0.5,24,"2y","Nominal",2.16743956951499,2.16821114604762,-0.0771576532630824,0.0115962600567551,2000000
-1,0,0,13,0.75,"Near the bound",0.5,24,"2y","Nominal",1.17307239425667,1.17496765666599,-0.189526240931981,0.0213125624552058,2000000
0,0,0,14,2,"Above the bound",0.5,24,"2y","Nominal",2.06238421480679,2.06324705171524,-0.0862836908444464,0.0122050927354691,2000000
1,0,0,15,3.25,"Above the bound",0.5,24,"2y","Nominal",3.06383437752928,3.06410374039924,-0.026936286996504,0.00565058110967698,2000000
-1,1,0,16,1.75,"Above the bound",0.5,24,"2y","Nominal",1.95859070740588,1.95955598428242,-0.0965276876537358,0.0128679172342753,2000000
0,1,0,17,3,"Above the bound",0.5,24,"2y","Nominal",2.9538937477706,2.95420088789645,-0.0307140125848093,0.00596837111141759,2000000
1,1,0,18,4.25,"Above the bound",0.5,24,"2y","Nominal",3.99384492034433,3.99391054483566,-0.00656244913326276,0.00239710889591137,2000000
-1,-1,1,19,1.25,"Above the bound",0.5,24,"2y","Nominal",0.942180548383539,0.944220738542229,-0.204019015868995,0.0247074079484673,2000000
0,-1,1,20,2.5,"Above the bound",0.5,24,"2y","Nominal",1.76005665505275,1.76121896495531,-0.116230990256816,0.0169584630473019,2000000
1,-1,1,21,3.75,"Above the bound",0.5,24,"2y","Nominal",2.7195570998164,2.72003103891405,-0.0473939097649811,0.00914930386622809,2000000
-1,0,1,22,2.25,"Above the bound",0.5,24,"2y","Nominal",1.65966215202727,1.66092922813796,-0.126707611068788,0.0176327043013856,2000000
0,0,1,23,3.5,"Above the bound",0.5,24,"2y","Nominal",2.61109703122242,2.6116235130911,-0.0526481868676765,0.00956017188977396,2000000
1,0,1,24,4.75,"Above the bound",0.5,24,"2y","Nominal",3.63236694073033,3.63252346275372,-0.0156522023384564,0.00437049364709838,2000000
-1,1,1,25,3.25,"Above the bound",0.5,24,"2y","Nominal",2.50314457807698,2.5037305323554,-0.058595427842878,0.0100084110224635,2000000
0,1,1,26,4.5,"Above the bound",0.5,24,"2y","Nominal",3.52148544088651,3.52166072286653,-0.017528198002692,0.00456971404515807,2000000
1,1,1,27,5.75,"Above the bound",0.5,24,"2y","Nominal",4.56742271567243,4.56745955015889,-0.00368344864609682,0.00184209150903149,2000000
-1,-1,-1,1,-1.75,"Below the bound",0.5,24,"2y","Real",-0.39397812013958,-0.391556118016136,-0.242200212344429,0.0241242037199478,2000000
0,-1,-1,2,-0.5,"Below the bound",0.5,24,"2y","Real",0.0748808866976617,0.0771520634171257,-0.227117671946399,0.0232258135197054,2000000
1,-1,-1,3,0.75,"Near the bound",0.5,24,"2y","Real",0.845656005969985,0.846933903306238,-0.127789733625294,0.0147988935071554,2000000
-1,0,-1,4,-0.75,"Below the bound",0.5,24,"2y","Real",-0.918011061999776,-0.915665552585039,-0.234550941473677,0.0235221245796825,2000000
0,0,-1,5,0.5,"Near the bound",0.5,24,"2y","Real",-0.189124447349192,-0.187734074028153,-0.139037332103872,0.015630769945862,2000000
1,0,-1,6,1.75,"Above the bound",0.5,24,"2y","Real",0.767413963538145,0.767929761240785,-0.0515797702639986,0.00746518514102796,2000000
-1,1,-1,7,0.25,"Near the bound",0.5,24,"2y","Real",-1.22014150160405,-1.21863035827283,-0.151114333122337,0.0164761022511764,2000000
0,1,-1,8,1.5,"Above the bound",0.5,24,"2y","Real",-0.279623480932549,-0.279044067890608,-0.0579413041940424,0.00799636772033667,2000000
1,1,-1,9,2.75,"Above the bound",0.5,24,"2y","Real",0.747477314381729,0.747621348736377,-0.0144034354648603,0.00318000250516023,2000000
-1,-1,0,10,-0.25,"Below the bound",0.5,24,"2y","Real",-0.474244990096749,-0.471789440380552,-0.245554971619705,0.0255607475022457,2000000
