"real_level","target_level","cycle_level","state_id","shadow_rate","region","eta","maturity_months","maturity","security","approximation","monte_carlo","error_bp","mc_se_bp","npaths"
1,-1,-1,3,0.75,"Near the bound",-0.5,60,"5y","Nominal",1.8386205941026,1.84096157849868,-0.234098439608399,0.0496633297809849,200000
-1,0,-1,4,-0.75,"Below the bound",-0.5,60,"5y","Nominal",1.25624622365961,1.26042946059919,-0.418323693958755,0.0666004993664579,200000
0,0,-1,5,0.5,"Near the bound",-0.5,60,"5y","Nominal",1.86909849111752,1.87150507896243,-0.240658784490733,0.0476699540257687,200000
1,0,-1,6,1.75,"Above the bound",-0.5,60,"5y","Nominal",2.60874277096033,2.60980094342145,-0.105817246111339,0.0300545425206308,200000
-1,1,-1,7,0.25,"Near the bound",-0.5,60,"5y","Nominal",1.90280205674878,1.90528387168942,-0.248181494064093,0.0458514928447428,200000
0,1,-1,8,1.5,"Above the bound",-0.5,60,"5y","Nominal",2.64117362620238,2.64223510275403,-0.106147655164879,0.0281463414840819,200000
1,1,-1,9,2.75,"Above the bound",-0.5,60,"5y","Nominal",3.43541879221889,3.43576378600102,-0.0344993782132708,0.0162757600097768,200000
-1,-1,0,10,-0.25,"Below the bound",-0.5,60,"5y","Nominal",0.847609598690209,0.852254489740146,-0.464489104993726,0.0796079359606807,200000
0,-1,0,11,1,"Near the bound",-0.5,60,"5y","Nominal",1.38631559234583,1.38971189703314,-0.339630468731045,0.0657490248405864,200000
1,-1,0,12,2.25,"Above the bound",-0.5,60,"5y","Nominal",2.06532466210716,2.06731043504737,-0.198577294020819,0.04692853669722,200000
-1,0,0,13,0.75,"Near the bound",-0.5,60,"5y","Nominal",1.41186391544567,1.41538934129781,-0.352542585214199,0.063892493695859,200000
0,0,0,14,2,"Above the bound",-0.5,60,"5y","Nominal",2.09191499342001,2.09392054436526,-0.200555094525345,0.0446335421670447,200000
1,0,0,15,3.25,"Above the bound",-0.5,60,"5y","Nominal",2.85141937801524,2.85230623149719,-0.0886853481950389,0.0285169581662523,200000
-1,1,0,16,1.75,"Above the bound",-0.5,60,"5y","Nominal",2.12071579999015,2.1227416149332,-0.202581494305543,0.042503505090902,200000
0,1,0,17,3,"Above the bound",-0.5,60,"5y","Nominal",2.88285324868452,2.88372152684595,-0.0868278161425984,0.0263986142966735,200000
1,1,0,18,4.25,"Above the bound",-0.5,60,"5y","Nominal",3.6831706655647,3.68345018143845,-0.0279515873750746,0.0155957957962772,200000
-1,-1,1,19,1.25,"Above the bound",-0.5,60,"5y","Nominal",1.00225294367383,1.0063937622561,-0.414081858227,0.0781919872730858,200000
0,-1,1,20,2.5,"Above the bound",-0.5,60,"5y","Nominal",1.59999541670085,1.6029911315021,-0.299571480124272,0.0628910653476229,200000
1,-1,1,21,3.75,"Above the bound",-0.5,60,"5y","Nominal",2.30271289708357,2.30446399704956,-0.175109996598355,0.0449595413790734,200000
-1,0,1,22,2.25,"Above the bound",-0.5,60,"5y","Nominal",1.6210114739263,1.62408520298494,-0.30737290586389,0.0608382041919655,200000
0,0,1,23,3.5,"Above the bound",-0.5,60,"5y","Nominal",2.32813188183952,2.32988379082141,-0.175190898188982,0.0424679939788461,200000
1,0,1,24,4.75,"Above the bound",-0.5,60,"5y","Nominal",3.09698106225483,3.09774317278916,-0.0762110534332727,0.0274332084392041,200000
-1,1,1,25,3.25,"Above the bound",-0.5,60,"5y","Nominal",2.35544840783444,2.35719920211103,-0.175079427659108,0.0401088327355806,200000
0,1,1,26,4.5,"Above the bound",-0.5,60,"5y","Nominal",3.12814953181831,3.12888906090393,-0.0739529085615143,0.0252146484334051,200000
1,1,1,27,5.75,"Above the bound",-0.5,60,"5y","Nominal",3.93157546357032,3.9318101030932,-0.0234639522885161,0.0150943829972518,200000
-1,-1,-1,1,-1.75,"Below the bound",-0.5,60,"5y","Real",-0.495640694085097,-0.490463468403034,-0.51772256820633,0.0806180858793471,200000
0,-1,-1,2,-0.5,"Below the bound",-0.5,60,"5y","Real",-0.0454488026310734,-0.0413898651119976,-0.405893751907576,0.0694576070367307,200000
1,-1,-1,3,0.75,"Near the bound",-0.5,60,"5y","Real",0.575552825130926,0.577931628116562,-0.237880298563586,0.05019906342043,200000
-1,0,-1,4,-0.75,"Below the bound",-0.5,60,"5y","Real",-0.867421254612909,-0.863179127364103,-0.424212724880602,0.0674549185609209,200000
0,0,-1,5,0.5,"Near the bound",-0.5,60,"5y","Real",-0.25543215359427,-0.252989959346153,-0.244219424811698,0.0482037782807083,200000
1,0,-1,6,1.75,"Above the bound",-0.5,60,"5y","Real",0.483703028902539,0.48478450643248,-0.108147752994142,0.0303528072724408,200000
-1,1,-1,7,0.25,"Near the bound",-0.5,60,"5y","Real",-1.08318752305577,-1.08066913727502,-0.251838578074559,0.0463862080903884,200000
0,1,-1,8,1.5,"Above the bound",-0.5,60,"5y","Real",-0.345335177956903,-0.344255682761158,-0.107949519574474,0.0284411265592047,200000
1,1,-1,9,2.75,"Above the bound",-0.5,60,"5y","Real",0.448678066871153,0.449037478815306,-0.0359411944152732,0.0164252290605642,200000
-1,-1,0,10,-0.25,"Below the bound",-0.5,60,"5y","Real",-0.301507476939999,-0.296862031021689,-0.464544591830923,0.0807310550091441,200000
0,-1,0,11,1,"Near the bound",-0.5,60,"5y","Real",0.236147382771302,0.239549229329478,-0.340184655817624,0.0665094970541161,200000
