"real_level","target_level","cycle_level","state_id","shadow_rate","region","eta","maturity_months","maturity","security","approximation","monte_carlo","error_bp","mc_se_bp","npaths","wu_xia_yield","wu_xia_error_bp","implementation_difference_bp"
-1,0,-1,4,-0.75,"Below the bound",0.5,24,"2y","Nominal",0.819767639129623,0.822404775162761,-0.26371360331382,0.0240611178909255,2000000,0.819767639129623,-0.26371360331382,0
0,0,-1,5,0.5,"Near the bound",0.5,24,"2y","Nominal",1.54680263957291,1.54825818045967,-0.145554088676336,0.0159581074336804,2000000,1.54680263957291,-0.145554088676336,0
1,0,-1,6,1.75,"Above the bound",0.5,24,"2y","Nominal",2.50230568851982,2.50279978061678,-0.0494092096962273,0.00763436762993305,2000000,2.50230568851982,-0.0494092096962273,0
-1,1,-1,7,0.25,"Near the bound",0.5,24,"2y","Nominal",1.4557256720256,1.45735706642725,-0.163139440164639,0.0168212860809094,2000000,1.4557256720256,-0.163139440164639,0
0,1,-1,8,1.5,"Above the bound",0.5,24,"2y","Nominal",2.39514405744494,2.39571827346901,-0.057421602407004,0.0081762223254187,2000000,2.39514405744494,-0.057421602407004,0
1,1,-1,9,2.75,"Above the bound",0.5,24,"2y","Nominal",3.42180743798134,3.42193667261166,-0.0129234630322994,0.00326032973870035,2000000,3.42180743798134,-0.0129234630322994,0
-1,-1,0,10,-0.25,"Below the bound",0.5,24,"2y","Nominal",0.583808515622715,0.586377684829125,-0.25691692064097,0.0261977740817467,2000000,0.583808515622715,-0.25691692064097,0
0,-1,0,11,1,"Near the bound",0.5,24,"2y","Nominal",1.26150113015901,1.26321596704636,-0.171483688734697,0.0205446711871797,2000000,1.26150113015901,-0.171483688734697,0
1,-1,0,12,2.25,"Above the bound",0.5,24,"2y","Nominal",2.16745060473017,2.16821114604762,-0.0760541317454511,0.0115962600567551,2000000,2.16745060473017,-0.0760541317454511,0
-1,0,0,13,0.75,"Near the bound",0.5,24,"2y","Nominal",1.1730909936306,1.17496765666599,-0.187666303538503,0.0213125624552058,2000000,1.1730909936306,-0.187666303538503,0
0,0,0,14,2,"Above the bound",0.5,24,"2y","Nominal",2.06239557779745,2.06324705171524,-0.0851473917787615,0.0122050927354691,2000000,2.06239557779745,-0.0851473917787615,0
1,0,0,15,3.25,"Above the bound",0.5,24,"2y","Nominal",3.06383953040947,3.06410374039924,-0.0264209989766062,0.00565058110967698,2000000,3.06383953040947,-0.0264209989766062,0
-1,1,0,16,1.75,"Above the bound",0.5,24,"2y","Nominal",1.95860240745041,1.95955598428242,-0.0953576832014358,0.0128679172342753,2000000,1.95860240745041,-0.0953576832014358,0
0,1,0,17,3,"Above the bound",0.5,24,"2y","Nominal",2.95389909892664,2.95420088789645,-0.0301788969808481,0.00596837111141759,2000000,2.95389909892664,-0.0301788969808481,0
1,1,0,18,4.25,"Above the bound",0.5,24,"2y","Nominal",3.99384676762665,3.99391054483566,-0.00637772090059663,0.00239710889591137,2000000,3.99384676762665,-0.00637772090059663,0
-1,-1,1,19,1.25,"Above the bound",0.5,24,"2y","Nominal",0.942202263418076,0.944220738542229,-0.20184751241531,0.0247074079484673,2000000,0.942202263418076,-0.20184751241531,0
0,-1,1,20,2.5,"Above the bound",0.5,24,"2y","Nominal",1.76007303951397,1.76121896495531,-0.114592544133507,0.0169584630473019,2000000,1.76007303951397,-0.114592544133507,0
1,-1,1,21,3.75,"Above the bound",0.5,24,"2y","Nominal",2.71956630857409,2.72003103891405,-0.0464730339957864,0.00914930386622809,2000000,2.71956630857409,-0.0464730339957864,0
-1,0,1,22,2.25,"Above the bound",0.5,24,"2y","Nominal",1.65967887339059,1.66092922813796,-0.125035474737167,0.0176327043013856,2000000,1.65967887339059,-0.125035474737167,0
0,0,1,23,3.5,"Above the bound",0.5,24,"2y","Nominal",2.61110651371729,2.6116235130911,-0.0516999373809668,0.00956017188977396,2000000,2.61110651371729,-0.0516999373809668,0
1,0,1,24,4.75,"Above the bound",0.5,24,"2y","Nominal",3.63237100834272,3.63252346275372,-0.0152454410999425,0.00437049364709838,2000000,3.63237100834272,-0.0152454410999425,0
-1,1,1,25,3.25,"Above the bound",0.5,24,"2y","Nominal",2.50315434712856,2.5037305323554,-0.0576185226845105,0.0100084110224635,2000000,2.50315434712856,-0.0576185226845105,0
0,1,1,26,4.5,"Above the bound",0.5,24,"2y","Nominal",3.52148965170391,3.52166072286653,-0.0171071162623271,0.00456971404515807,2000000,3.52148965170391,-0.0171071162623271,0
1,1,1,27,5.75,"Above the bound",0.5,24,"2y","Nominal",4.56742410765395,4.56745955015889,-0.00354425049371443,0.00184209150903149,2000000,4.56742410765395,-0.00354425049362561,-8.88178419700125e-14
-1,-1,-1,1,-1.75,"Below the bound",0.5,60,"5y","Nominal",0.765613507892919,0.7727268936516,-0.711338575868092,0.0253947813119337,2000000,0.765613507892919,-0.711338575868092,0
0,-1,-1,2,-0.5,"Below the bound",0.5,60,"5y","Nominal",1.2168653552924,1.22258841118438,-0.572305589198474,0.0219711741282689,2000000,1.2168653552924,-0.572305589198474,0
1,-1,-1,3,0.75,"Near the bound",0.5,60,"5y","Nominal",1.83870023770195,1.84228576963176,-0.358553192981215,0.0159527908331393,2000000,1.83870023770195,-0.358553192981215,0
-1,0,-1,4,-0.75,"Below the bound",0.5,60,"5y","Nominal",1.2563447563752,1.26217208824651,-0.582733187130535,0.0213299825762105,2000000,1.2563447563752,-0.582733187130535,0
