"date","r_star_ekf","r_star_ukf","pi_star_ekf","pi_star_ukf","m_ekf","m_ukf","shadow_rate_ekf","shadow_rate_ukf"
1999-06-01,2.38350100827023,2.38111026992106,1.74680344257941,1.74720315847266,0.107346230004366,0.109911249717628,4.237650680854,4.23822467811135
1999-07-01,2.54778721257062,2.5452411124865,1.4958311110093,1.4961919166551,0.191965764657438,0.194566655213316,4.23558408823735,4.23599968435491
1999-08-01,2.32003357262831,2.31788955485719,2.02861649673912,2.02878814051842,0.106485564917519,0.108880472128944,4.45513563428495,4.45555816750455
1999-09-01,2.50408705863246,2.50180611022176,1.77976113308243,1.77998620313853,0.11730381179609,0.11966622104247,4.40115200351098,4.40145853440276
1999-10-01,2.70221866311954,2.6999211379893,1.74515265753997,1.74542708747234,0.112079927240692,0.114373634358287,4.5594512479002,4.55972185981992
1999-11-01,2.38918254766658,2.38702297632059,2.00411682906246,2.00422710899352,0.45420908509022,0.456548498006615,4.84750846181926,4.84779858332073
1999-12-01,2.60209023572506,2.59983070116453,1.82474310808125,1.82489656259339,0.50945651948232,0.511745649094755,4.93628986328863,4.93647291285268
2000-01-01,2.75236694928937,2.75017033734803,1.77785146272536,1.77801538011603,0.436562461976576,0.438674996254279,4.96678087399131,4.96686071371833
2000-02-01,2.35336208721081,2.35135239361639,2.12082728213705,2.12084866360448,0.74262704039858,0.744681058748455,5.21681640974644,5.21688211596933
2000-03-01,2.26400329673653,2.26173309004143,1.88632271982358,1.88636462283595,1.17357184937872,1.17587297167291,5.32389786593883,5.32397068455028
2000-04-01,2.09878981306168,2.09615885303395,1.76267835719114,1.7627395972017,1.46074815675959,1.46336611369395,5.32221632701241,5.3222645639296
2000-05-01,1.85349533646386,1.85104659306209,2.26567584341808,2.26572413446514,1.31201137002589,1.31438822267601,5.43118254990782,5.43115895020324
2000-06-01,1.87312258185689,1.87041853457698,1.90804020502993,1.90807046303253,1.54056060837876,1.543182799286,5.32172339526558,5.32167179689551
2000-07-01,2.06252408939342,2.05951231648985,1.79586021640983,1.79595607486517,1.79786153070877,1.80087297458459,5.65624583651201,5.65634136593961
2000-08-01,1.77869940669929,1.77575685066635,2.11972076617496,2.11980821276241,2.02597840329532,2.02902972523362,5.92439857616958,5.92459478866238
2000-09-01,2.03831487897842,2.03515245240434,1.91619784205494,1.91637219276361,1.91368124628357,1.91689302975953,5.86819396731693,5.86841767492747
2000-10-01,2.16100355327964,2.15767678283466,1.80828522888687,1.80856995729403,2.09482063440045,2.09811463014783,6.06410941656697,6.06436137027652
2000-11-01,1.90266229641143,1.8995958040013,2.17197206363616,2.1721376076219,2.12576313354125,2.1290344714842,6.20039749358884,6.2007678831074
2000-12-01,1.96541132931887,1.9619445108993,1.7427447744585,1.74304187652603,2.12511346812108,2.1287466801205,5.83326957189846,5.83373306754582
2001-01-01,2.27695428577766,2.27325756533378,1.65609546288572,1.65682046305523,1.27175513372637,1.2756794918554,5.20480488238975,5.20575752024441
2001-02-01,2.04202334116779,2.03938210041691,2.12390312977129,2.12427858615841,0.839829927255457,0.843267796618695,5.00575639819454,5.00692848319401
