"filter","regime","series","unit","observations","bias","rmse","mae","average_sd","coverage_68","coverage_95","binding_fraction","loglik_per_month","runtime_seconds","iteration_fraction","replication"
"EKF","binding","u","percentage points",3,-0.192486379978454,1.9519551969854,1.58993048953238,1.41335457516554,0.333333333333333,1,0.00431654676258993,81.474560423883,0.0630000000000006,0,2
"EKF","binding","w","normalized units",3,-0.0296594149450825,0.133410344609785,0.131129390869495,0.162846640664484,1,1,0.00431654676258993,81.474560423883,0.0630000000000006,0,2
"EKF","binding","shadow_rate","percentage points",3,0.0297962968504876,0.130989067588655,0.108210412362484,0.121704057305091,0.666666666666667,0.666666666666667,0.00431654676258993,81.474560423883,0.0630000000000006,0,2
"EKF","nonbinding","r_star","percentage points",692,0.0295186119385577,0.141704318473701,0.101397161166423,0.139579522649851,0.702312138728324,0.968208092485549,0.00431654676258993,81.474560423883,0.0630000000000006,0,2
"EKF","nonbinding","pi_star","percentage points",692,-0.0364899545363269,0.175518176479505,0.120795163216152,0.154325329388639,0.687861271676301,0.959537572254335,0.00431654676258993,81.474560423883,0.0630000000000006,0,2
"EKF","nonbinding","m","percentage points",692,0.00488772223726746,0.0938866368534888,0.0740829551290514,0.092809970081618,0.673410404624277,0.96242774566474,0.00431654676258993,81.474560423883,0.0630000000000006,0,2
"EKF","nonbinding","pi_gap","percentage points",692,-0.00968281551280682,0.939855777100864,0.758306865538447,0.969281610626113,0.670520231213873,0.958092485549133,0.00431654676258993,81.474560423883,0.0630000000000006,0,2
"EKF","nonbinding","u","percentage points",692,-0.023029473923856,1.49482607344271,1.20354518330914,1.4140683518703,0.667630057803468,0.94364161849711,0.00431654676258993,81.474560423883,0.0630000000000006,0,2
"EKF","nonbinding","w","normalized units",692,-0.00461772877532841,0.147708188432136,0.118092517271344,0.149191429475176,0.677745664739884,0.952312138728324,0.00431654676258993,81.474560423883,0.0630000000000006,0,2
"EKF","nonbinding","shadow_rate","percentage points",692,-0.00208362036050181,0.0840375360625857,0.0669713557333022,0.0865724711478781,0.699421965317919,0.959537572254335,0.00431654676258993,81.474560423883,0.0630000000000006,0,2
"IEKF","all","r_star","percentage points",695,0.027850637850013,0.141607556496557,0.101365428279489,0.139482393405067,0.702158273381295,0.968345323741007,0.00431654676258993,81.4751442023088,0.114000000000001,1,2
"IEKF","all","pi_star","percentage points",695,-0.0358711329172177,0.175301202040212,0.120633518741513,0.154154637910728,0.689208633093525,0.959712230215827,0.00431654676258993,81.4751442023088,0.114000000000001,1,2
"IEKF","all","m","percentage points",695,0.00547887246068952,0.0937577145395552,0.0741699121494405,0.0929613789345118,0.671942446043165,0.962589928057554,0.00431654676258993,81.4751442023088,0.114000000000001,1,2
"IEKF","all","pi_gap","percentage points",695,-0.00603116559044237,0.938871063625373,0.758058098473668,0.969362898899202,0.671942446043165,0.958273381294964,0.00431654676258993,81.4751442023088,0.114000000000001,1,2
"IEKF","all","u","percentage points",695,-0.0240933902316916,1.49705790267553,1.20522992563363,1.41406597515488,0.666187050359712,0.943884892086331,0.00431654676258993,81.4751442023088,0.114000000000001,1,2
"IEKF","all","w","normalized units",695,-0.00555655398262776,0.147702698871095,0.11782829991918,0.149357542284076,0.679136690647482,0.952517985611511,0.00431654676258993,81.4751442023088,0.114000000000001,1,2
"IEKF","all","shadow_rate","percentage points",695,-0.0025416226065153,0.0841228558811839,0.0670668797500461,0.0868773528868916,0.703597122302158,0.961151079136691,0.00431654676258993,81.4751442023088,0.114000000000001,1,2
"IEKF","binding","r_star","percentage points",3,-0.0548091121995608,0.149585469704226,0.116112130123927,0.115652222364495,0.666666666666667,0.666666666666667,0.00431654676258993,81.4751442023088,0.114000000000001,1,2
"IEKF","binding","pi_star","percentage points",3,0.0074318350171354,0.10796402204331,0.0987096773205819,0.114844739915246,0.666666666666667,1,0.00431654676258993,81.4751442023088,0.114000000000001,1,2
"IEKF","binding","m","percentage points",3,-0.0264081260319449,0.077116311687513,0.0643907005324854,0.121740758416452,1,1,0.00431654676258993,81.4751442023088,0.114000000000001,1,2
